id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
380,1,"[559.5548653512201, -64.43389144133145, 1.5469528870308702, 0.14278518106604685, -0.026724926328013165, 0.0011418132414958686]","[1798.761810337938, -265.77124875088344, 0.978549628449147, 0.20807035176812497, 0.049542226645595606, -0.01611978655429535]",1,378.4146974946769
380,2,"[1439.3956987597937, -257.7995884488589, 2.4887339223921363, 0.08608616240448101, -0.16989056710030964, 0.0005147215276371034]","[1798.761810337938, -265.77124875088344, 0.978549628449147, 0.20807035176812497, 0.049542226645595606, -0.01611978655429535]",5,378.4146974946769
381,0,"[0, 0, 1, 0, 0, 0]","[1973.281320513557, -434.4687391656658, 1.2901329465265514, 0.1518454432502505, -0.056056079162565685, -0.004945024306297461]",20,378.4146974946769
381,1,"[475.7263505971204, -23.4968915086083, 0.8835992900346865, 0.28584561686152615, 0.011800634369868227, -0.06944515422534021]","[1973.281320513557, -434.4687391656658, 1.2901329465265514, 0.1518454432502505, -0.056056079162565685, -0.004945024306297461]",7,378.4146974946769
381,2,"[597.6863090247822, -164.89824203610226, 4.3620811974882985, 0.14488255136019598, -1.0082380987414572, -0.057335392828997155]","[1973.281320513557, -434.4687391656658, 1.2901329465265514, 0.1518454432502505, -0.056056079162565685, -0.004945024306297461]",1,378.4146974946769
381,3,"[1598.689041513774, -422.5234688966301, 2.5023370389875788, 0.08651247758054471, -0.08574287571401379, 0.0005314239675281558]","[1973.281320513557, -434.4687391656658, 1.2901329465265514, 0.1518454432502505, -0.056056079162565685, -0.004945024306297461]",3,378.4146974946769
382,0,"[0, 0, 1, 0, 0, 0]","[1973.7961865053303, 62.331433624669295, 1.993256151634649, 0.19405156253710154, 0.2326563756127371, -0.04492806962966826]",10,378.4146974946769
382,1,"[660.1896135062101, -31.66802434354193, 1.7955340110872278, 0.21386291704626426, -0.1603392087354703, -0.04365342539118546]","[1973.7961865053303, 62.331433624669295, 1.993256151634649, 0.19405156253710154, 0.2326563756127371, -0.04492806962966826]",16,378.4146974946769
382,2,"[1525.2841658420925, 7.0702736880989345, 1.9036724382795494, 0.20681658873042053, 0.1683269390354092, -0.05641658604455029]","[1973.7961865053303, 62.331433624669295, 1.993256151634649, 0.19405156253710154, 0.2326563756127371, -0.04492806962966826]",23,378.4146974946769
383,0,"[0, 0, 1, 0, 0, 0]","[1740.1055264321988, 120.92053021693025, 2.463899475021967, 0.07470648482515516, 0.14513265866900124, 0.006685305821389279]",18,378.4146974946769
383,1,"[594.1619586397131, -22.682788913521126, 2.2158436295201587, 0.25147771347201087, 0.1895411531924279, -0.039919798955651065]","[1740.1055264321988, 120.92053021693025, 2.463899475021967, 0.07470648482515516, 0.14513265866900124, 0.006685305821389279]",23,378.4146974946769
383,2,"[1458.3951496089337, 87.75065128085583, 2.3344146089033457, 0.21043457956015874, 0.24125083667996572, -0.054955600216025795]","[1740.1055264321988, 120.92053021693025, 2.463899475021967, 0.07470648482515516, 0.14513265866900124, 0.006685305821389279]",23,378.4146974946769
