id_camino,id_in_seq,initial_state,current_state,goal_state,out_action,timesteps
132,12,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[1.795986788059044, -2.684079124478408, 1.555290407394297, 2.9675738704067425, -0.022450496982440657, -0.11267110574149454]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.03171124187154174]",6.306911625
132,13,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[2.1641800725253675, -3.105032668449054, 3.0569009496334623, 0.5340995183115156, -0.6488699243866409, -0.0515428284157531]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.03491, 0.0]",6.306911625
132,14,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[2.645229452700826, -3.688079089835848, 4.4847317784272, 0.5067519422253153, -0.7920575989746501, -0.010755304352236345]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.08727, 0.03171124187154174]",6.306911625
132,15,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[3.294705246569301, -4.477525906010255, 5.729004000018412, 0.4367413746031976, -0.757227398882153, 0.016925244769751043]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.08727, 0.06342248374308349]",6.306911625
132,16,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[4.207745573413693, -5.329378497866511, 6.81087858243923, 0.36723936966721854, -0.6003149569369743, 0.032825704854213524]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",6.306911625
132,17,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[5.359310793607126, -6.219232340145335, 7.816711818835549, 0.28049051814464687, -0.6409569329520576, -0.009860208320962287]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.0]",6.306911625
132,18,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[6.683492879586845, -7.196289537311418, 8.64958976730509, 0.8216833101467479, -0.45506194700664243, 0.031799027305482175]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.03171124187154174]",6.306911625
132,19,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[8.26838976814689, -7.939964982874963, 8.875511587774076, 0.6215079489469018, -0.2475105327427044, 0.0407620443930273]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.08727, 0.06342248374308349]",6.306911625
132,20,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[9.992895286289647, -8.282026211830187, 8.795596358429275, 0.44497953002331475, -0.008828815434686534, 0.04356257020493525]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.06342248374308349]",6.306911625
132,21,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[11.464306964130717, -8.226229319606825, 8.283554397243336, 0.4766044712807471, 0.22781514611117043, 0.049077344947220054]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]",[],6.306911625
